,gender,age,time,year,time_seconds
1204,M,68,1:33:10,2018,5590
1205,F,62,1:33:12,2018,5592
1206,F,58,1:33:14,2018,5594
1207,F,33,1:33:20,2018,5600
1208,F,35,1:33:22,2018,5602
1209,M,36,1:33:22,2018,5602
1210,M,48,1:33:27,2018,5607
1211,M,21,1:33:28,2018,5608
1212,M,48,1:33:32,2018,5612
1213,F,29,1:33:40,2018,5620
1214,M,51,1:33:48,2018,5628
1215,M,46,1:33:56,2018,5636
1216,F,45,1:34:06,2018,5646
1217,M,30,1:34:15,2018,5655
1218,F,33,1:34:16,2018,5656
1219,F,40,1:34:20,2018,5660
1220,F,33,1:34:20,2018,5660
1221,F,57,1:34:21,2018,5661
1222,M,28,1:34:22,2018,5662
1223,M,53,1:34:26,2018,5666
1224,M,28,1:34:26,2018,5666
1225,F,28,1:34:28,2018,5668
1226,F,29,1:34:28,2018,5668
1227,M,21,1:34:38,2018,5678
1228,F,45,1:34:41,2018,5681
1229,M,48,1:34:44,2018,5684
1230,F,63,1:34:46,2018,5686
1231,M,20,1:34:49,2018,5689
1232,F,36,1:34:51,2018,5691
1233,M,22,1:34:55,2018,5695
1234,F,23,1:35:02,2018,5702
1235,M,50,1:35:03,2018,5703
1236,M,61,1:35:08,2018,5708
1237,M,28,1:35:18,2018,5718
1238,F,52,1:35:28,2018,5728
1239,F,45,1:35:37,2018,5737
1240,F,33,1:35:42,2018,5742
1241,F,39,1:35:46,2018,5746
1242,M,38,1:35:53,2018,5753
1243,F,51,1:35:54,2018,5754
1244,F,60,1:35:59,2018,5759
1245,F,36,1:36:02,2018,5762
1246,M,43,1:36:09,2018,5769
1247,F,48,1:36:30,2018,5790
1248,M,27,1:36:41,2018,5801
1249,M,32,1:36:41,2018,5801
1250,M,60,1:36:44,2018,5804
1251,M,37,1:37:03,2018,5823
1252,F,24,1:37:15,2018,5835
1253,M,60,1:37:15,2018,5835
1254,F,55,1:37:25,2018,5845
1255,F,54,1:37:25,2018,5845
1256,M,30,1:37:33,2018,5853
1257,F,33,1:37:49,2018,5869
1258,M,37,1:37:53,2018,5873
1259,M,34,1:37:58,2018,5878
1260,M,51,1:38:00,2018,5880
1261,F,49,1:38:02,2018,5882
1262,M,62,1:38:05,2018,5885
1263,F,51,1:38:10,2018,5890
1264,F,25,1:38:20,2018,5900
1265,M,32,1:38:24,2018,5904
1266,M,36,1:38:24,2018,5904
1267,M,59,1:38:31,2018,5911
1268,M,14,1:38:33,2018,5913
1269,M,27,1:38:45,2018,5925
1270,F,31,1:38:47,2018,5927
1271,M,50,1:38:50,2018,5930
1272,M,55,1:39:03,2018,5943
1273,F,45,1:39:04,2018,5944
1274,M,40,1:39:09,2018,5949
1275,F,21,1:39:10,2018,5950
1276,M,37,1:39:18,2018,5958
1277,F,44,1:39:18,2018,5958
1278,F,54,1:39:23,2018,5963
1279,M,55,1:39:25,2018,5965
1280,M,33,1:39:28,2018,5968
1281,F,53,1:39:30,2018,5970
1282,M,49,1:39:41,2018,5981
1283,F,49,1:39:45,2018,5985
1284,M,63,1:39:47,2018,5987
1285,F,55,1:40:03,2018,6003
1286,F,40,1:40:05,2018,6005
1287,F,49,1:40:10,2018,6010
1288,F,40,1:40:12,2018,6012
1289,F,32,1:40:14,2018,6014
1290,F,25,1:40:15,2018,6015
1291,M,58,1:40:27,2018,6027
1292,M,35,1:40:36,2018,6036
1293,M,47,1:40:37,2018,6037
1294,M,50,1:40:39,2018,6039
1295,M,63,1:40:56,2018,6056
1296,F,31,1:40:56,2018,6056
1297,F,29,1:41:23,2018,6083
1298,F,39,1:41:27,2018,6087
1299,F,57,1:41:31,2018,6091
1300,M,51,1:41:43,2018,6103
1301,M,58,1:41:59,2018,6119
1302,F,36,1:42:03,2018,6123
1303,M,41,1:42:03,2018,6123
1304,F,56,1:42:04,2018,6124
1305,M,52,1:42:18,2018,6138
1306,F,25,1:42:20,2018,6140
1307,F,52,1:42:20,2018,6140
